Time,"DO(mg/L)",Latitude,Longitude,B01,B02,B03,B04,B05,B06,B07,B08,B08A,B09,B11,B12
2021/3/20 10:00,8.933885,38.826900 ,116.010000 ,681,810,851,779,828,781,783,823,756,785,672,553
2021/3/23 11:00,9.938856,38.826900 ,116.010000 ,226,202,306,287,176,150,143,149,122,107,123,99
2021/3/25 10:00,9.79498,38.826900 ,116.010000 ,1155,881,1009,1007,905,852,849,838,817,895,579,470
2021/3/30 10:00,9.710071,38.826900 ,116.010000 ,691,756,804,761,773,719,731,744,714,759,633,513
2021/4/4 10:00,8.146111,38.826900 ,116.010000 ,583,471,499,434,520,534,561,471,559,768,397,353
2021/4/7 11:00,8.254189,38.826900 ,116.010000 ,1684,1181,1415,1539,1162,1065,1034,974,902,813,369,239
2021/4/14 10:00,8.126214,38.826900 ,116.010000 ,263,227,303,229,239,210,216,217,206,200,168,151
2021/4/17 11:00,8.203655,38.826900 ,116.010000 ,437,388,478,426,389,365,368,376,328,338,232,198
2021/4/19 10:00,8.982306,38.826900 ,116.010000 ,686,541,673,693,558,520,536,503,479,521,307,240
2021/5/2 11:00,8.365663,38.826900 ,116.010000 ,353,285,409,366,288,278,303,290,243,253,154,126
2021/5/4 10:00,8.520798,38.826900 ,116.010000 ,197,167,246,174,159,134,147,154,138,158,139,118
2021/5/7 11:00,8.113863,38.826900 ,116.010000 ,494,599,658,582,604,552,562,565,542,412,453,409
2021/5/9 10:00,9.323721,38.826900 ,116.010000 ,331,357,453,396,379,375,423,412,396,429,293,238
2021/5/12 11:00,9.430927,38.826900 ,116.010000 ,986,749,933,985,773,802,837,787,738,688,424,304
2021/5/24 10:00,8.375574,38.826900 ,116.010000 ,507,517,576,488,588,651,705,710,708,668,482,359
2021/5/27 11:00,7.101939,38.826900 ,116.010000 ,1058,1133,1554,1508,1274,1644,1840,2422,1878,2425,1465,1167
2021/5/29 10:00,7.067493,38.826900 ,116.010000 ,312,287,359,331,298,225,246,225,226,193,188,156
2021/6/1 11:00,7.208907,38.826900 ,116.010000 ,710,582,732,735,650,668,707,652,653,745,327,257
2021/6/3 10:00,7.431461,38.826900 ,116.010000 ,90,83,119,64,114,22,16,31,15,21,43,44
2021/6/11 11:00,9.483737,38.826900 ,116.010000 ,408,447,537,445,530,480,506,475,477,610,319,299
2021/6/13 10:00,12.51028,38.826900 ,116.010000 ,1589,1217,1420,1484,1389,1543,1600,1523,1556,3722,826,651
2021/6/28 10:00,6.486991,38.826900 ,116.010000 ,1519,1131,1375,1438,1298,1464,1600,1475,1480,2891,713,536
2021/7/23 10:00,2.007484,38.826900 ,116.010000 ,441,327,489,395,388,270,260,197,194,187,118,79
2021/8/2 10:00,7.664143,38.826900 ,116.010000 ,225,180,338,206,251,113,129,105,98,92,66,40
2021/8/17 10:00,5.100504,38.826900 ,116.010000 ,1367,777,1095,1195,900,837,889,744,762,689,292,154
2021/8/25 11:00,4.649534,38.826900 ,116.010000 ,230,239,364,239,314,178,190,159,149,86,102,80
2021/8/27 10:00,4.1749,38.826900 ,116.010000 ,623,423,625,589,504,414,438,371,361,350,166,108
2021/9/1 10:00,3.089414,38.826900 ,116.010000 ,542,402,570,417,562,550,573,390,483,871,362,204
2021/9/21 10:00,5.045882,38.826900 ,116.010000 ,320,201,300,258,240,181,177,155,148,101,70,51
2021/9/29 11:00,4.660876,38.826900 ,116.010000 ,430,346,434,453,396,327,358,321,307,262,201,146
2021/10/11 10:00,6.067812,38.826900 ,116.010000 ,174,113,174,143,128,63,63,57,45,11,42,33
2021/10/16 10:00,8.252177,38.826900 ,116.010000 ,171,133,194,184,147,71,76,72,48,34,37,42
