time,"DO(mg/L,¡Ý5)",lat,lon,B01,B02,B03,B04,B05,B06,B07,B08,B08A,B09,B11,B12
2021/3/20 10:00,10.5331,38.900400 ,116.030200 ,814,1021,1011,950,1109,1079,1112,1106,1087,1019,1043,837
2021/3/23 11:00,11.0296,38.900400 ,116.030200 ,302,583,522,454,781,888,924,769,916,636,1137,902
2021/3/30 10:00,12.4277,38.900400 ,116.030200 ,848,1175,1110,1013,1307,1330,1374,1501,1410,1350,1296,1109
2021/4/4 10:00,11.1874,38.900400 ,116.030200 ,557,840,782,631,996,1126,1273,1416,1288,972,1107,844
2021/4/7 11:00,12.1025,38.900400 ,116.030200 ,1655,1297,1465,1536,1399,1419,1417,1327,1356,1176,1093,842
2021/4/14 10:00,10.565,38.900400 ,116.030200 ,432,779,748,556,1035,1235,1422,1613,1452,1121,1152,866
2021/4/17 11:00,10.6161,38.900400 ,116.030200 ,468,658,657,553,847,1011,956,1017,965,983,909,767
2021/4/19 10:00,11.5014,38.900400 ,116.030200 ,748,941,964,856,1154,1388,1484,1738,1604,1205,1229,925
2021/4/27 11:00,11.9066,38.900400 ,116.030200 ,698,951,913,765,1162,1367,1391,1393,1349,1547,1152,976
2021/5/2 11:00,10.9141,38.900400 ,116.030200 ,422,538,568,484,784,1032,1211,1097,1144,1330,950,787
2021/5/4 10:00,10.905,38.900400 ,116.030200 ,280,502,533,373,783,1079,1042,1107,1170,1307,815,604
2021/5/7 11:00,9.2648,38.900400 ,116.030200 ,367,555,558,443,769,991,1174,1037,1226,1657,961,747
2021/5/9 10:00,10.0567,38.900400 ,116.030200 ,405,784,831,624,1042,1781,2051,2266,2110,2259,1349,919
2021/5/12 11:00,10.7885,38.900400 ,116.030200 ,1022,859,1005,1022,1083,1388,1508,1444,1587,1851,1057,800
2021/5/22 11:00,8.2826,38.900400 ,116.030200 ,1361,931,1088,1104,1170,1575,1694,1552,1678,2252,1151,861
2021/5/24 10:00,8.1648,38.900400 ,116.030200 ,559,852,907,691,1183,1989,2327,2337,2366,2771,1423,969
2021/5/29 10:00,6.4732,38.900400 ,116.030200 ,425,773,832,642,1169,2051,2619,2447,2537,3153,1588,1039
2021/6/1 11:00,6.1237,38.900400 ,116.030200 ,537,649,721,623,923,1344,1486,1316,1491,2433,1125,817
2021/6/3 10:00,6.4158,38.900400 ,116.030200 ,279,662,705,452,1004,2060,2325,2336,2397,3120,1470,948
2021/6/11 11:00,6.2055,38.900400 ,116.030200 ,411,845,848,728,1099,1499,1650,1803,1764,2378,1359,1031
2021/7/8 10:00,4.2058,38.900400 ,116.030200 ,467,696,734,661,1057,1561,1779,1792,1828,2873,1475,1044
2021/7/23 10:00,1.0908,38.900400 ,116.030200 ,587,721,795,652,998,1640,1757,1802,1917,2871,1256,819
2021/8/2 10:00,3.0342,38.900400 ,116.030200 ,399,540,625,488,740,1354,1432,1614,1565,2558,1104,719
2021/8/10 11:00,4.0147,38.900400 ,116.030200 ,981,683,883,948,803,1114,1196,1012,1121,1527,604,438
2021/8/17 10:00,2.2255,38.900400 ,116.030200 ,1748,1044,1356,1509,1243,1539,1656,1543,1568,1715,696,381
2021/8/25 11:00,4.9763,38.900400 ,116.030200 ,318,423,444,333,617,867,994,878,1035,2377,901,642
2021/8/27 10:00,4.1307,38.900400 ,116.030200 ,558,593,666,613,859,1259,1477,1395,1517,2504,1103,740
2021/9/1 10:00,2.2509,38.900400 ,116.030200 ,571,546,618,527,822,1262,1387,1381,1508,2811,1039,635
2021/9/21 10:00,2.5052,38.900400 ,116.030200 ,414,481,519,432,696,1018,1185,1147,1292,2273,990,637
2021/9/29 11:00,2.6065,38.900400 ,116.030200 ,460,580,625,546,778,1050,1177,860,1175,2276,1050,741
2021/10/11 10:00,3.1415,38.900400 ,116.030200 ,320,387,486,362,561,824,934,1034,886,1722,769,528
2021/10/16 10:00,4.9155,38.900400 ,116.030200 ,323,477,565,457,662,887,961,1057,991,1744,975,677
2021/10/19 11:00,5.9433,38.900400 ,116.030200 ,329,496,611,503,666,720,808,498,796,1777,941,729
2021/10/21 10:00,6.2564,38.900400 ,116.030200 ,216,419,494,325,582,842,925,945,997,1696,885,632
2021/10/24 11:00,6.6923,38.900400 ,116.030200 ,1435,1171,1406,1416,1323,1419,1408,1329,1392,1807,1076,794
2022/7/8 10:00,5.0421,38.900400 ,116.030200 ,1457,1790,1752,1632,2076,2509,2712,2708,2881,3554,2516,1970
2022/7/13 10:00,2.6391,38.900400 ,116.030200 ,1406,1669,1671,1650,1907,2336,2754,2655,2819,3341,2422,1957
2022/7/21 11:00,5.0773,38.900400 ,116.030200 ,1316,1483,1524,1419,1922,2361,2377,2022,2437,3784,1952,1804
2022/7/23 10:00,2.3759,38.900400 ,116.030200 ,1424,1686,1664,1620,1888,2386,2803,2727,2855,3558,2434,1967
2022/8/5 11:00,3.9017,38.900400 ,116.030200 ,1774,1737,1906,1885,1944,2505,2746,2546,2920,3220,2285,1906
2022/8/10 11:00,2.0119,38.900400 ,116.030200 ,1355,1536,1557,1495,1650,2124,2335,2136,2299,3385,2040,1716
2022/8/20 11:00,3.9831,38.900400 ,116.030200 ,1543,1706,1729,1662,1870,2398,2573,2340,2539,3109,2128,1766
2022/8/25 11:00,3.0648,38.900400 ,116.030200 ,1300,1400,1434,1356,1564,2063,2301,2030,2356,3493,2008,1681
2022/8/27 10:00,3.1178,38.900400 ,116.030200 ,1342,1504,1518,1406,1683,2261,2414,2475,2556,3514,2091,1712
2022/9/1 10:00,5.1067,38.900400 ,116.030200 ,2088,1690,1849,1889,1845,2274,2449,2434,2451,2615,1899,1582
2022/9/4 11:00,5.4085,38.900400 ,116.030200 ,1468,1499,1585,1508,1726,2265,2432,2103,2434,3672,2028,1718
2022/9/6 10:00,4.0603,38.900400 ,116.030200 ,1375,1459,1490,1356,1620,2153,2284,2262,2346,3578,1934,1603
2022/9/11 10:00,3.1031,38.900400 ,116.030200 ,1823,1671,1827,1803,1922,2478,2653,2539,2755,3517,2180,1777
