time,"DO(mg/L,¡Ý5)",lat,lon,B01,B02,B03,B04,B05,B06,B07,B08,B08A,B09,B11,B12
2021/3/23 11:00,11.646,38.903700 ,115.945800 ,292,179,328,271,255,109,134,116,90,840,118,122
2021/3/28 11:00,9.307,38.903700 ,115.945800 ,1231,2235,1923,1523,2371,2407,2472,2711,2535,2614,2326,1923
2021/4/7 11:00,9.487,38.903700 ,115.945800 ,1578,1096,1354,1412,1327,1428,1435,1439,1274,1386,416,259
2021/4/17 11:00,9.41,38.903700 ,115.945800 ,521,469,558,416,983,1441,1576,1783,1530,1451,435,323
2021/4/27 11:00,7.234,38.903700 ,115.945800 ,720,927,993,792,1396,1897,2054,2308,2029,1932,913,682
2021/5/2 11:00,7.493,38.903700 ,115.945800 ,445,390,551,433,651,878,979,1423,964,1922,317,197
2021/5/7 11:00,8.688,38.903700 ,115.945800 ,484,631,802,562,709,359,370,536,267,1752,309,212
2021/5/12 11:00,9.792,38.903700 ,115.945800 ,1071,898,1161,1097,1089,1157,1232,1361,1192,1707,540,344
2021/5/22 11:00,9.378,38.903700 ,115.945800 ,1768,1414,1690,1732,1576,1771,1968,1957,1890,3056,1068,854
2021/5/29 10:00,4.989,38.903700 ,115.945800 ,461,618,793,606,651,459,478,971,422,2563,335,219
2021/6/1 11:00,7.559,38.903700 ,115.945800 ,581,756,947,756,861,819,947,1167,882,2306,471,302
2021/6/11 11:00,4.312,38.903700 ,115.945800 ,398,592,802,537,817,1267,1570,1990,1641,1886,811,462
2021/7/8 10:00,3.295,38.903700 ,115.945800 ,448,436,766,524,784,1559,1887,2275,1923,2768,909,439
2021/8/10 11:00,0.195,38.903700 ,115.945800 ,1785,1397,1794,1834,1655,2208,2427,2672,2347,3633,1434,890
2021/8/25 11:00,4.067,38.903700 ,115.945800 ,329,348,646,376,765,1603,1736,2213,1832,2608,980,505
2021/9/29 11:00,1.135,38.903700 ,115.945800 ,470,552,900,604,857,1291,1468,2220,1436,2248,746,411
2021/10/11 10:00,1.244,38.903700 ,115.945800 ,297,256,388,256,401,753,839,1228,893,1324,665,389
2021/10/16 10:00,3.501,38.903700 ,115.945800 ,351,440,577,436,508,675,724,1067,799,1240,574,364
2021/10/19 11:00,4.508,38.903700 ,115.945800 ,395,399,567,462,299,110,136,198,66,1246,78,54
2021/10/21 10:00,4.66,38.903700 ,115.945800 ,216,299,466,245,369,1704,1900,2644,2176,1281,521,313
2021/10/24 11:00,4.698,38.903700 ,115.945800 ,1472,1138,1413,1413,1139,1076,1023,1067,929,1567,407,209
2022/7/8 10:00,5.217,38.903700 ,115.945800 ,1490,1560,1780,1515,1747,2016,2158,2495,2184,3418,1870,1508
2022/7/21 11:00,2.954,38.903700 ,115.945800 ,1480,1543,1667,1522,1461,1143,959,1118,903,3476,1124,1113
2022/7/23 10:00,2.49,38.903700 ,115.945800 ,1125,1387,1657,1499,1121,1099,1160,1050,1156,2520,1021,875
2022/8/5 11:00,2.015,38.903700 ,115.945800 ,1812,1727,1928,1878,1784,1851,1938,1986,1833,3990,1340,1176
2022/8/10 11:00,0.178,38.903700 ,115.945800 ,1291,1216,1238,1235,1139,1017,925,1276,1000,3710,1180,1128
2022/8/20 11:00,1.572,38.903700 ,115.945800 ,1584,1539,1717,1596,1553,1548,1602,1924,1556,3917,1428,1226
2022/8/25 11:00,2.006,38.903700 ,115.945800 ,1329,1387,1522,1384,1353,1244,1297,1595,1259,3796,1263,1147
2022/8/27 10:00,1.752,38.903700 ,115.945800 ,1342,1352,1650,1349,1664,2429,2623,3256,2674,3774,1921,1467
2022/9/4 11:00,2.339,38.903700 ,115.945800 ,1790,1648,1870,1807,1689,1829,1871,2240,1798,3854,1412,1241
2022/9/6 10:00,2.07,38.903700 ,115.945800 ,1426,1453,1744,1455,1788,2547,2721,3393,2851,3853,1999,1511
