Time,"DO(mg/L)",Latitude,Longitude,B01,B02,B03,B04,B05,B06,B07,B08,B08A,B09,B11,B12
2021/3/20 10:00,10.6,38.862500 ,116.030700 ,677,775,807,748,786,729,740,774,705,735,625,518
2021/3/23 11:00,10.723,38.862500 ,116.030700 ,198,198,316,283,192,145,173,163,143,131,108,98
2021/3/30 10:00,10.641,38.862500 ,116.030700 ,735,804,857,808,832,795,817,829,787,922,694,585
2021/4/4 10:00,9.924,38.862500 ,116.030700 ,331,309,374,351,311,283,281,302,251,269,191,148
2021/4/7 11:00,10.756,38.862500 ,116.030700 ,1653,1225,1442,1528,1217,1130,1092,1039,956,820,403,263
2021/4/14 10:00,10.435,38.862500 ,116.030700 ,232,200,270,203,206,192,191,198,191,201,159,141
2021/4/17 11:00,10.812,38.862500 ,116.030700 ,366,335,431,370,348,318,326,335,296,304,219,170
2021/4/19 10:00,10.587,38.862500 ,116.030700 ,684,551,683,686,568,533,543,512,488,488,323,246
2021/4/27 11:00,11.762,38.862500 ,116.030700 ,680,870,896,770,922,922,940,1014,935,970,766,642
2021/5/2 11:00,12.375,38.862500 ,116.030700 ,340,257,368,342,273,253,291,254,248,234,164,126
2021/5/4 10:00,11.448,38.862500 ,116.030700 ,179,191,279,175,212,148,154,165,153,138,178,156
2021/5/7 11:00,10.683,38.862500 ,116.030700 ,414,400,467,382,447,401,392,359,406,408,278,244
2021/5/9 10:00,11.281,38.862500 ,116.030700 ,336,378,460,402,428,414,462,442,413,523,327,272
2021/5/12 11:00,12.202,38.862500 ,116.030700 ,1016,758,959,983,813,799,841,752,728,755,347,274
2021/5/22 11:00,10.173,38.862500 ,116.030700 ,1662,1417,1588,1649,1528,1599,1661,1561,1593,2499,1121,1051
2021/5/24 10:00,9.423,38.862500 ,116.030700 ,507,564,600,499,631,647,672,685,664,749,506,388
2021/5/29 10:00,7.432,38.862500 ,116.030700 ,318,272,333,340,282,226,248,221,214,284,194,175
2021/6/1 11:00,7.199,38.862500 ,116.030700 ,602,621,695,674,611,604,622,601,598,518,432,366
2021/6/3 10:00,7.353,38.862500 ,116.030700 ,113,107,145,83,111,33,32,33,34,136,85,86
2021/6/11 11:00,8.383,38.862500 ,116.030700 ,534,713,801,694,660,597,639,642,636,619,538,531
2021/7/8 10:00,5.879,38.862500 ,116.030700 ,280,218,323,290,217,95,117,72,67,55,64,60
2021/7/23 10:00,2.32,38.862500 ,116.030700 ,501,337,461,422,386,303,289,227,232,204,125,89
2021/8/2 10:00,6.621,38.862500 ,116.030700 ,227,175,306,199,232,103,129,115,90,95,70,57
2021/8/17 10:00,7.543,38.862500 ,116.030700 ,1540,1020,1307,1374,1180,1117,1161,1034,1056,1206,480,261
2021/8/25 11:00,5.182,38.862500 ,116.030700 ,235,267,386,246,355,186,205,176,168,116,141,120
2021/8/27 10:00,5.956,38.862500 ,116.030700 ,585,415,595,565,470,382,415,346,329,326,167,134
2021/9/1 10:00,4.003,38.862500 ,116.030700 ,358,242,369,293,288,207,205,179,173,118,89,63
2021/9/21 10:00,4.924,38.862500 ,116.030700 ,343,220,327,274,250,186,194,158,155,119,87,53
2021/9/29 11:00,5.571,38.862500 ,116.030700 ,433,395,504,488,411,368,387,344,334,333,197,160
2021/10/11 10:00,5.175,38.862500 ,116.030700 ,183,128,198,155,119,58,52,55,43,19,42,44
2021/10/16 10:00,7.128,38.862500 ,116.030700 ,493,488,583,606,464,408,385,516,380,437,321,247
2021/10/19 11:00,8.232,38.862500 ,116.030700 ,233,226,339,305,229,156,153,147,131,103,66,60
2021/10/24 11:00,7.638,38.862500 ,116.030700 ,1373,1066,1267,1335,1057,1005,970,898,852,766,345,199
2022/7/8 10:00,8.053,38.862500 ,116.030700 ,1322,1300,1448,1323,1348,1082,1062,1034,1043,1400,1220,1178
2022/7/13 10:00,6.013,38.862500 ,116.030700 ,1276,1295,1411,1343,1340,1226,1265,1223,1239,1373,1203,1149
2022/7/21 11:00,8.398,38.862500 ,116.030700 ,1600,1817,2017,1739,1744,1491,1461,1514,1461,1465,1506,1472
2022/7/23 10:00,7.294,38.862500 ,116.030700 ,1295,1260,1461,1323,1295,1117,1125,1105,1088,1072,1057,1042
2022/8/10 11:00,4.89,38.862500 ,116.030700 ,1501,1465,1576,1456,1499,1378,1368,1328,1337,1271,1324,1266
2022/8/25 11:00,8.11,38.862500 ,116.030700 ,1272,1300,1489,1325,1385,1258,1287,1257,1236,1177,1154,1118
2022/8/27 10:00,7.608,38.862500 ,116.030700 ,1208,1208,1399,1196,1270,1101,1121,1096,1080,1028,1049,1049
2022/9/4 11:00,9.594,38.862500 ,116.030700 ,1514,1519,1798,1599,1572,1345,1317,1260,1273,1180,1183,1184
2022/9/6 10:00,8.078,38.862500 ,116.030700 ,1279,1268,1438,1259,1304,1208,1215,1196,1155,1153,1089,1069
2022/9/11 10:00,8.463,38.862500 ,116.030700 ,1784,1525,1752,1747,1545,1412,1420,1302,1278,1140,1158,1115
