time,"DO(mg/L,≥5)",lat,lon,B01,B02,B03,B04,B05,B06,B07,B08,B08A,B09,B11,B12
2021/3/20 10:00,10.488,38.942000 ,115.999900 ,692,676,740,737,689,646,643,659,589,633,467,380
2021/3/23 11:00,10.9,38.942000 ,115.999900 ,219,207,297,274,203,166,180,184,168,159,126,94
2021/3/30 10:00,11.945,38.942000 ,115.999900 ,761,798,864,825,841,793,799,807,762,864,636,513
2021/4/4 10:00,12.215,38.942000 ,115.999900 ,395,263,368,338,269,246,233,237,227,226,132,104
2021/4/7 11:00,13.589,38.942000 ,115.999900 ,1414,1016,1230,1333,1015,929,872,839,766,694,320,201
2021/4/14 10:00,10.047,38.942000 ,115.999900 ,293,226,297,257,231,221,221,240,223,218,151,111
2021/4/17 11:00,11.115,38.942000 ,115.999900 ,393,340,419,394,357,334,342,366,325,345,222,170
2021/4/19 10:00,12.217,38.942000 ,115.999900 ,643,515,627,661,523,515,523,505,463,467,278,212
2021/4/27 11:00,11.835,38.942000 ,115.999900 ,654,757,788,688,834,860,852,898,838,917,646,525
2021/5/2 11:00,11.895,38.942000 ,115.999900 ,349,275,379,358,323,383,403,385,360,303,156,123
2021/5/4 10:00,11.209,38.942000 ,115.999900 ,207,170,227,187,187,173,185,188,174,203,133,112
2021/5/7 11:00,9.886,38.942000 ,115.999900 ,287,277,332,313,293,269,270,304,250,291,203,165
2021/5/9 10:00,10.126,38.942000 ,115.999900 ,326,322,389,367,365,403,435,431,402,499,283,220
2021/5/12 11:00,11.303,38.942000 ,115.999900 ,1007,714,885,959,791,851,843,780,743,783,345,237
2021/5/22 11:00,11.907,38.942000 ,115.999900 ,1553,1098,1328,1430,1297,1439,1472,1317,1337,1856,909,735
2021/5/24 10:00,10.328,38.942000 ,115.999900 ,531,517,565,493,621,726,785,791,766,836,480,355
2021/5/29 10:00,9.873,38.942000 ,115.999900 ,335,274,343,349,325,306,356,362,307,390,182,157
2021/6/1 11:00,8.013,38.942000 ,115.999900 ,466,438,507,501,477,528,571,569,552,566,329,245
2021/6/3 10:00,9.172,38.942000 ,115.999900 ,154,83,122,93,85,25,37,32,31,262,76,69
2021/6/11 11:00,9.173,38.942000 ,115.999900 ,219,219,268,246,226,188,222,210,203,325,178,139
2021/7/8 10:00,5.851,38.942000 ,115.999900 ,377,211,324,353,236,206,228,187,175,373,84,65
2021/7/23 10:00,3.944,38.942000 ,115.999900 ,557,616,857,631,570,329,331,249,240,220,116,69
2021/8/2 10:00,5.15,38.942000 ,115.999900 ,377,420,685,439,392,190,210,180,173,207,80,57
2021/8/10 11:00,4.29,38.942000 ,115.999900 ,1034,727,1011,1013,786,875,916,793,838,1218,355,253
2021/8/17 10:00,6.364,38.942000 ,115.999900 ,1573,829,1175,1281,921,917,945,809,813,1151,313,177
2021/8/25 11:00,7.29,38.942000 ,115.999900 ,307,274,446,342,287,227,238,217,191,264,125,99
2021/8/27 10:00,6.232,38.942000 ,115.999900 ,416,280,479,434,291,259,277,239,236,356,121,91
2021/9/1 10:00,4.708,38.942000 ,115.999900 ,485,321,484,464,348,362,378,374,344,657,188,136
2021/9/21 10:00,5.928,38.942000 ,115.999900 ,396,326,590,449,280,151,181,143,116,200,55,43
2021/9/29 11:00,6.534,38.942000 ,115.999900 ,472,420,671,587,403,371,369,347,320,415,204,156
2021/10/11 10:00,7.824,38.942000 ,115.999900 ,454,417,762,542,302,107,111,98,89,102,37,33
2021/10/16 10:00,8.999,38.942000 ,115.999900 ,427,496,774,598,365,152,156,146,102,105,67,43
2021/10/19 11:00,9.512,38.942000 ,115.999900 ,465,532,816,637,417,218,214,199,157,168,72,58
2021/10/21 10:00,9.283,38.942000 ,115.999900 ,366,425,759,493,329,67,73,56,26,62,33,40
2021/10/24 11:00,9.838,38.942000 ,115.999900 ,1472,1130,1458,1425,1123,992,961,911,854,805,309,179
2022/7/8 10:00,6.811,38.942000 ,115.999900 ,1368,1235,1388,1308,1244,993,954,953,971,1539,1216,1179
2022/7/13 10:00,5.519,38.942000 ,115.999900 ,1270,1228,1356,1327,1237,1131,1175,1141,1149,1368,1177,1134
2022/7/21 11:00,6.981,38.942000 ,115.999900 ,1211,1106,1232,1179,1111,922,932,948,899,1278,1051,1070
2022/7/23 10:00,6.568,38.942000 ,115.999900 ,1240,1128,1240,1245,1133,1077,1097,1061,1053,1186,1042,1034
2022/8/5 11:00,6.39,38.942000 ,115.999900 ,1721,1443,1638,1684,1501,1568,1612,1459,1487,1576,1181,1100
2022/8/10 11:00,4.294,38.942000 ,115.999900 ,1228,1141,1239,1200,1145,1062,1070,1069,1057,1104,1062,1047
2022/8/20 11:00,5.971,38.942000 ,115.999900 ,1423,1254,1398,1353,1298,1298,1297,1279,1288,1361,1173,1122
2022/8/25 11:00,7.27,38.942000 ,115.999900 ,1241,1214,1347,1305,1219,1199,1236,1224,1227,1253,1159,1101
2022/8/27 10:00,7.026,38.942000 ,115.999900 ,1193,1096,1213,1165,1086,1049,1077,1059,1058,1149,1053,1048
2022/9/4 11:00,7.195,38.942000 ,115.999900 ,1205,1138,1279,1265,1130,938,912,894,888,1086,1100,1086
2022/9/6 10:00,5.692,38.942000 ,115.999900 ,1307,1201,1320,1271,1214,1210,1245,1227,1212,1354,1097,1078
2022/9/11 10:00,7.526,38.942000 ,115.999900 ,1971,1510,1777,1887,1564,1568,1578,1441,1441,1370,1198,1125
