time,"DO(mg/L,¡Ý5)",lat,lon,B01,B02,B03,B04,B05,B06,B07,B08,B08A,B09,B11,B12
2021/7/23 10:00,3.58,38.897200 ,116.089600 ,516,489,800,535,1026,2668,3175,3403,3341,3716,1640,826
2021/8/2 10:00,5.35,38.897200 ,116.089600 ,405,397,696,417,917,2473,2942,3195,3059,3528,1493,744
2021/8/10 11:00,3.5,38.897200 ,116.089600 ,944,644,915,920,939,1810,2165,2172,2206,2319,877,438
2021/8/25 11:00,4.44,38.897200 ,116.089600 ,322,376,592,364,824,2128,2501,2793,2572,3293,1302,638
2021/8/27 10:00,3.82,38.897200 ,116.089600 ,583,536,785,614,970,2188,2653,2957,2835,3288,1601,808
2021/9/1 10:00,2.14,38.897200 ,116.089600 ,580,531,797,543,1065,2569,3013,3270,3250,3730,1605,838
2021/9/21 10:00,1.77,38.897200 ,116.089600 ,468,488,651,454,908,1963,2286,2630,2592,2906,1545,821
2021/9/29 11:00,2.51,38.897200 ,116.089600 ,413,563,655,520,934,1791,2155,2463,2432,2624,1701,946
2021/10/11 10:00,4.14,38.897200 ,116.089600 ,371,498,544,352,802,1453,1720,2209,2010,2357,1531,886
2021/10/16 10:00,5.76,38.897200 ,116.089600 ,363,545,553,423,809,1419,1668,2219,1993,2229,1772,1034
2021/10/19 11:00,6.48,38.897200 ,116.089600 ,312,536,501,398,802,1350,1595,2017,1905,2160,1545,932
2021/10/21 10:00,6.86,38.897200 ,116.089600 ,233,467,469,251,785,1334,1572,2057,1890,2294,1520,884
2021/10/24 11:00,7.25,38.897200 ,116.089600 ,1375,1227,1325,1352,1442,1762,1907,2114,2116,2250,1713,1001
2021/11/10 10:00,8.16,38.897200 ,116.089600 ,30,647,393,142,879,1112,1304,1723,1670,1955,1781,1207
2021/11/25 11:00,9.62,38.897200 ,116.089600 ,402,953,676,577,1075,1178,1289,1597,1524,1599,1604,1182
2021/11/30 11:00,9.77,38.897200 ,116.089600 ,201,791,462,290,909,1006,1130,1462,1387,1250,1394,1023
2022/7/8 10:00,2.35,38.897200 ,116.089600 ,1501,1639,1891,1548,2219,3722,4179,4541,4512,4741,2882,2001
2022/7/13 10:00,1.47,38.897200 ,116.089600 ,1470,1652,1870,1609,2154,3512,4015,4365,4157,4585,2970,2074
2022/7/21 11:00,4.04,38.897200 ,116.089600 ,1346,1598,1749,1405,2163,3537,3981,4383,4228,4506,2880,1973
2022/7/23 10:00,4.05,38.897200 ,116.089600 ,1500,1681,1889,1609,2181,3431,3882,4296,4102,4458,3053,2119
2022/8/5 11:00,2.03,38.897200 ,116.089600 ,1863,1794,2018,1906,2238,3175,3657,3692,3836,3866,2697,1853
2022/8/10 11:00,2.22,38.897200 ,116.089600 ,1437,1662,1782,1523,2123,3175,3527,3912,3805,4013,2899,1999
2022/8/20 11:00,2.59,38.897200 ,116.089600 ,1529,1754,1853,1612,2196,3230,3591,3859,3898,4006,3097,2156
2022/8/25 11:00,2.51,38.897200 ,116.089600 ,1374,1699,1778,1553,2095,3040,3364,3738,3672,3838,2993,2145
2022/8/27 10:00,4.34,38.897200 ,116.089600 ,1441,1732,1841,1537,2136,3119,3473,3958,3706,4065,2997,2133
2022/9/6 10:00,1.68,38.897200 ,116.089600 ,1461,1709,1785,1525,2064,2957,3237,3704,3511,3950,2862,2085
2022/9/11 10:00,1.9,38.897200 ,116.089600 ,1774,1841,1945,1826,2275,3131,3474,3771,3795,3965,3355,2359
